A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,A.3 Expected Annual Damage,A.3 Dike Investment Costs,A.3_Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Dike Investment Costs,A.4_Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29086851.263237786,0,0.02495846780213165,615855911.6998641,0,0.6327102164058594,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
962642287.3839912,0,0.7724264784338044,685542911.807297,0,0.6920999890589761,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,19543880.517435446,0,0.022654775886813125,84607103.57898322,0,0.1822213896023276,55467977.18282762,0,0.030643039671747023,320041844.75751936,0,0.3336873841617457,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
29494569.701332625,0,0.025367304870469527,701099518.5773897,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
27046483.390950702,0,0.025367304870469527,642907378.430076,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
27766769.179395948,0,0.025367304870469527,660028903.6677972,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
33670456.533651225,0,0.025367304870469527,800362273.634296,0,0.7169773224127859,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
962642287.3839912,0,0.7724264784338044,0.0,0,0.0,0.0,0,0.0,34464089.99822007,0,0.017734542656876857,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,30695102.077450138,0,0.016085386028358625,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,26986343.88692455,0,0.014085855342776928,0.0,0,0.0,0.0,0.0
29086851.26323778,0,0.02495846780213165,19540381.91082581,0,0.022647004895562088,146405103.48295346,0,0.31213529945798446,74636055.65221328,0,0.040023124305422486,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,27124949.890302762,0,0.014174705890598955,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,27124949.890302762,0,0.014174705890598955,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,602194798.7185037,0,0.6107660556498617,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,27124949.890302762,0,0.014174705890598955,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,27124949.890302762,0,0.014174705890598955,0.0,0,0.0,0.0,0.0
956563964.0996478,0,0.7664411585264588,0.0,0,0.0,0.0,0,0.0,27124949.890302762,0,0.014174705890598955,0.0,0,0.0,0.0,0.0
